,ID,time,waiting room,in department,to be seen,average wait time,average door2doc time,average LOS
0,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.22,0.0,0.0,0.0,0.0
2,1.0,2.0,0.0,0.32,0.0,0.0,0.16,0.0
3,1.0,3.0,0.0,0.5,0.0,0.0,0.44,0.0
4,1.0,4.0,0.0,0.68,0.0,0.0,0.64,0.0
5,1.0,5.0,0.0,0.82,0.0,0.0,0.96,0.0
6,1.0,6.0,0.0,0.92,0.02,0.0,1.16,0.0
7,1.0,7.0,0.0,1.16,0.04,0.0,1.36,0.0
8,1.0,8.0,0.0,1.28,0.06,0.0,1.44,0.0
9,1.0,9.0,0.0,1.42,0.1,0.0,1.68,0.0
10,1.0,10.0,0.0,1.74,0.16,0.0,1.76,0.0
11,1.0,11.0,0.0,1.8,0.16,0.0,1.76,0.0
12,1.0,12.0,0.0,1.88,0.2,0.0,1.88,0.0
13,1.0,13.0,0.0,2.06,0.26,0.0,1.9066,0.0
14,1.0,14.0,0.0,2.2,0.34,0.0,1.9066,0.0
15,1.0,15.0,0.0,2.34,0.48,0.0,1.94,0.2
16,1.0,16.0,0.0,2.48,0.5,0.0,1.94,0.2
17,1.0,17.0,0.0,2.58,0.58,0.0,1.98,0.2
18,1.0,18.0,0.0,2.84,0.7,0.0,2.0066,0.2
19,1.0,19.0,0.0,3.08,0.74,0.0,2.0066,0.2
20,1.0,20.0,0.0,3.16,0.68,0.0,2.0932,0.36
21,1.0,21.0,0.0,3.42,0.88,0.0,2.1932,0.36
22,1.0,22.0,0.0,3.5,0.92,0.0,2.2716,0.6
23,1.0,23.0,0.0,3.66,1.02,0.0,2.2716,0.6
24,1.0,24.0,0.0,3.92,1.18,0.0,2.3544,0.6
25,1.0,25.0,0.0,4.08,1.2,0.0,2.4062,0.6
26,1.0,26.0,0.0,4.16,1.28,0.0,2.4062,1.67
27,1.0,27.0,0.0,4.2,1.3,0.0,2.4842,2.57
28,1.0,28.0,0.0,4.32,1.32,0.0,2.5092000000000003,3.09
29,1.0,29.0,0.0,4.56,1.38,0.0,2.5564,3.53
30,1.0,30.0,0.0,4.64,1.38,0.0,2.6672000000000002,3.53
31,1.0,31.0,0.0,4.92,1.58,0.0,3.0138,3.48
32,1.0,32.0,0.0,5.16,1.78,0.0,3.1032000000000006,3.96
33,1.0,33.0,0.0,5.28,1.88,0.0,3.1092,4.6
34,1.0,34.0,0.0,5.46,1.94,0.0,3.1392,5.1
35,1.0,35.0,0.0,5.66,2.0,0.0,3.1632000000000007,5.1
36,1.0,36.0,0.0,5.78,2.1,0.0,3.266,5.1
37,1.0,37.0,0.0,6.08,2.28,0.0,3.3764000000000003,5.1
38,1.0,38.0,0.0,6.26,2.34,0.0,3.383,5.4
39,1.0,39.0,0.0,6.52,2.56,0.0,3.4874000000000005,6.18
40,1.0,40.0,0.0,6.62,2.64,0.0,3.5764000000000005,7.24
41,1.0,41.0,0.0,6.84,2.8,0.0,3.5658000000000003,7.86
42,1.0,42.0,0.0,6.9,2.8,0.0,3.5948,8.1
43,1.0,43.0,0.0,7.08,2.94,0.0,3.6298000000000004,8.1
44,1.0,44.0,0.0,7.2,3.02,0.0,3.7394000000000007,8.1
45,1.0,45.0,0.0,7.28,3.06,0.0,3.7560000000000007,8.44
46,1.0,46.0,0.0,7.4,3.18,0.0,3.749000000000001,10.93
47,1.0,47.0,0.0,7.5,3.26,0.0,3.757000000000001,12.93
48,1.0,48.0,0.0,7.62,3.34,0.0,3.8018,12.9266
49,1.0,49.0,0.0,7.74,3.44,0.0,3.8468,13.7666
50,1.0,50.0,0.0,7.82,3.46,0.0,3.9314000000000004,14.7566
51,1.0,51.0,0.0,8.02,3.64,0.0,3.9534000000000007,15.3366
52,1.0,52.0,0.0,8.12,3.66,0.0,4.083,15.076600000000001
53,1.0,53.0,0.0,8.24,3.74,0.0,4.3184,16.4666
54,1.0,54.0,0.0,8.26,3.82,0.0,4.4158,17.8732
55,1.0,55.0,0.0,8.34,3.8,0.0,4.4888,19.4632
56,1.0,56.0,0.0,8.48,3.98,0.0,4.4992,21.2898
57,1.0,57.0,0.0,8.64,4.1,0.0,4.5638,23.0298
58,1.0,58.0,0.0,8.74,4.16,0.0,4.65,24.399799999999995
59,1.0,59.0,0.0,8.84,4.26,0.0,4.6676,25.739799999999995
60,1.0,60.0,0.0,9.0,4.38,0.0,4.6864,25.656399999999994
61,1.0,61.0,0.0,9.2,4.54,0.0,4.749,26.516399999999994
62,1.0,62.0,0.0,9.34,4.66,0.0,4.760400000000001,26.676399999999994
63,1.0,63.0,0.0,9.44,4.74,0.0,4.806,26.626399999999993
64,1.0,64.0,0.0,9.58,4.9,0.0,4.7818,28.419799999999995
65,1.0,65.0,0.0,9.64,4.9,0.0,4.8104000000000005,29.7582
66,1.0,66.0,0.0,9.84,5.1,0.0,4.8016,30.083199999999998
67,1.0,67.0,0.0,9.94,5.18,0.0,4.822399999999999,30.083199999999998
68,1.0,68.0,0.0,10.06,5.26,0.0,4.9068000000000005,30.0432
69,1.0,69.0,0.0,10.16,5.36,0.0,4.936399999999999,30.8566
70,1.0,70.0,0.0,10.24,5.44,0.0,4.95,31.57
71,1.0,71.0,0.0,10.22,5.44,0.0,5.0584,34.595
72,1.0,72.0,0.0,10.48,5.68,0.0,5.1804,36.0216
73,1.0,73.0,0.0,10.74,5.86,0.0,5.2616,36.1616
74,1.0,74.0,0.0,10.78,5.84,0.0,5.281600000000001,35.846599999999995
75,1.0,75.0,0.0,10.76,5.86,0.0,5.323200000000001,36.6486
76,1.0,76.0,0.0,10.88,5.98,0.0,5.4028,38.0186
77,1.0,77.0,0.0,10.98,6.02,0.0,5.4554,37.9786
78,1.0,78.0,0.0,10.98,5.98,0.0,5.457399999999999,38.118
79,1.0,79.0,0.0,11.1,6.1,0.0,5.468599999999999,39.532
80,1.0,80.0,0.0,11.1,6.18,0.0,5.502399999999999,39.809999999999995
81,1.0,81.0,0.0,11.24,6.24,0.0,5.4803999999999995,39.938399999999994
82,1.0,82.0,0.0,11.42,6.38,0.0,5.501799999999999,41.484399999999994
83,1.0,83.0,0.0,11.52,6.48,0.0,5.519799999999998,42.59439999999999
84,1.0,84.0,0.0,11.64,6.54,0.0,5.592,42.66039999999999
85,1.0,85.0,0.0,11.66,6.54,0.0,5.600999999999999,42.56039999999999
86,1.0,86.0,0.0,11.86,6.78,0.0,5.552599999999999,42.80039999999999
87,1.0,87.0,0.0,11.96,6.88,0.0,5.639799999999999,42.995999999999995
88,1.0,88.0,0.0,11.98,6.94,0.0,5.664799999999999,43.11679999999999
89,1.0,89.0,0.0,12.18,7.18,0.0,5.666599999999997,43.4266
90,1.0,90.0,0.0,12.32,7.28,0.0,5.666599999999997,43.9216
91,1.0,91.0,0.02,12.5,7.42,0.0,5.801399999999998,43.9842
92,1.0,92.0,0.02,12.62,7.54,0.0,5.840599999999999,43.9482
93,1.0,93.0,0.04,12.76,7.66,0.0,5.8952,44.169799999999995
94,1.0,94.0,0.04,13.02,7.88,0.0,5.874599999999998,44.169799999999995
95,1.0,95.0,0.06,13.12,7.84,0.0,5.916199999999999,44.169799999999995
96,1.0,96.0,0.06,13.18,7.94,0.0,5.925999999999999,44.6524
97,1.0,97.0,0.06,13.3,7.92,0.0,5.896399999999999,44.6524
98,1.0,98.0,0.08,13.4,8.04,0.0,5.921399999999998,45.1324
99,1.0,99.0,0.08,13.5,8.18,0.0,5.958399999999999,45.303999999999995
100,1.0,100.0,0.08,13.46,8.22,0.0,5.938799999999999,48.245
101,1.0,101.0,0.06,13.5,8.22,0.06,5.959799999999999,48.495
102,1.0,102.0,0.06,13.68,8.42,0.06,6.091599999999999,49.419799999999995
103,1.0,103.0,0.06,13.84,8.4,0.06,6.1659999999999995,49.395599999999995
104,1.0,104.0,0.1,13.86,8.42,0.06,6.186199999999999,49.81759999999999
105,1.0,105.0,0.1,14.02,8.62,0.06,6.151999999999999,49.5506
106,1.0,106.0,0.1,14.12,8.7,0.06,6.1312,49.6962
107,1.0,107.0,0.12,14.22,8.72,0.06,6.1762,49.632799999999996
108,1.0,108.0,0.14,14.48,9.02,0.06,6.312399999999999,49.8704
109,1.0,109.0,0.16,14.52,8.98,0.06,6.428399999999999,49.9626
110,1.0,110.0,0.18,14.54,9.08,0.06,6.428399999999999,51.05579999999999
111,1.0,111.0,0.16,14.66,9.1,0.05,6.4364,51.41239999999999
112,1.0,112.0,0.18,14.84,9.3,0.05,6.4496,51.75919999999999
113,1.0,113.0,0.16,14.96,9.3,0.17,6.422799999999999,52.33919999999999
114,1.0,114.0,0.22,15.06,9.42,0.17,6.507599999999999,52.325199999999995
115,1.0,115.0,0.22,15.2,9.6,0.2,6.559799999999999,52.4812
116,1.0,116.0,0.22,15.26,9.72,0.2,6.564599999999998,52.6568
117,1.0,117.0,0.28,15.4,9.82,0.2,6.566799999999998,52.542199999999994
118,1.0,118.0,0.28,15.5,9.84,0.2,6.682599999999999,52.57119999999999
119,1.0,119.0,0.3,15.6,9.96,0.2,6.6991999999999985,52.50159999999999
120,1.0,120.0,0.3,15.66,10.0,0.2,6.741199999999997,52.66179999999999
121,1.0,121.0,0.34,15.66,9.98,0.2,6.740999999999998,52.766000000000005
122,1.0,122.0,0.34,15.78,10.1,0.2466,6.735999999999998,52.836000000000006
123,1.0,123.0,0.38,15.8,10.14,0.2466,6.794599999999998,53.1224
124,1.0,124.0,0.38,15.92,10.26,0.2366,6.7964,53.3238
125,1.0,125.0,0.38,16.06,10.44,0.2366,6.845199999999998,53.67280000000001
126,1.0,126.0,0.42,16.14,10.46,0.2366,6.845199999999998,53.82280000000001
127,1.0,127.0,0.46,16.2,10.5,0.2366,6.845199999999998,54.3176
128,1.0,128.0,0.5,16.28,10.66,0.3066,6.922799999999999,54.3922
129,1.0,129.0,0.54,16.34,10.58,0.3066,6.9112,54.4508
130,1.0,130.0,0.54,16.34,10.56,0.2832,6.970600000000001,54.459599999999995
131,1.0,131.0,0.6,16.38,10.58,0.2832,6.991800000000001,54.64639999999999
132,1.0,132.0,0.62,16.42,10.62,0.2832,7.000200000000002,55.22659999999999
133,1.0,133.0,0.64,16.56,10.76,0.41319999999999996,7.008200000000001,54.96079999999999
134,1.0,134.0,0.68,16.64,10.74,0.5297999999999999,6.9772000000000025,55.22419999999999
135,1.0,135.0,0.72,16.72,10.82,0.5297999999999999,6.973200000000003,55.16759999999999
136,1.0,136.0,0.78,16.76,10.84,0.5297999999999999,7.002800000000001,55.81219999999999
137,1.0,137.0,0.76,16.82,10.96,0.6602,6.9994000000000005,56.2624
138,1.0,138.0,0.82,16.88,11.02,0.6602,7.043800000000001,56.66439999999999
139,1.0,139.0,0.82,16.96,11.12,0.6602,7.0546000000000015,57.29039999999999
140,1.0,140.0,0.86,16.92,11.14,0.6602,7.156400000000001,57.51259999999999
141,1.0,141.0,0.9,16.94,11.14,0.6602,7.161200000000001,57.17159999999999
142,1.0,142.0,0.92,17.0,11.22,0.7686,7.150400000000002,57.542799999999986
143,1.0,143.0,0.92,17.04,11.3,0.7686,7.179200000000002,57.823399999999985
144,1.0,144.0,1.02,17.08,11.36,0.7686,7.157400000000001,58.00519999999999
145,1.0,145.0,1.08,17.12,11.38,0.7686,7.174000000000001,58.19259999999999
146,1.0,146.0,1.12,17.14,11.38,0.7686,7.169,58.37539999999999
147,1.0,147.0,1.1,17.18,11.44,0.8486,7.176,58.805399999999985
148,1.0,148.0,1.14,17.28,11.54,0.8586,7.185600000000001,58.98659999999998
149,1.0,149.0,1.2,17.28,11.62,0.8686,7.1776,58.99159999999998
150,1.0,150.0,1.26,17.44,11.74,0.8686,7.2303999999999995,58.94919999999998
